#Line    Trace        X           Y           Time        Flag            FaultName 
1881   3940     575137.500    4205648.712       3239.200   18                    F01
1881   3897     575137.500    4205107.071       3393.400   18                    F01
1881   3864     575137.500    4204694.552       3545.400   18                    F01
1881   3809     575137.500    4204015.631       3724.000   18                    F01
1881   3792     575137.500    4203794.760       3790.200   18                    F01
1871   4330     575012.500    4210523.828       1154.400   19                    F01
1871   4305     575012.500    4210215.292       1257.200   19                    F01
1871   4281     575012.500    4209911.169       1374.800   19                    F01
1871   4257     575012.500    4209607.049       1516.800   19                    F01
1871   4229     575012.500    4209257.055       1649.200   19                    F01
1871   4201     575012.500    4208911.139       1774.000   19                    F01
1871   4177     575012.500    4208607.016       1896.600   19                    F01
1871   4149     575012.500    4208261.438       2050.800   19                    F01
1871   4129     575012.500    4208011.346       2175.800   19                    F01
1871   4105     575012.500    4207711.303       2342.400   19                    F01
1871   4076     575012.500    4207349.075       2560.600   19                    F01
1871   4043     575012.500    4206940.295       2761.400   19                    F01
1871   4009     575012.500    4206511.465       2945.000   19                    F01
1871   3978     575012.500    4206124.093       3089.600   19                    F01
1871   3937     575012.500    4205615.411       3251.400   19                    F01
1871   3908     575012.500    4205248.767       3359.200   19                    F01
1871   3868     575012.500    4204744.842       3518.200   19                    F01
1871   3834     575012.500    4204320.092       3626.200   19                    F01
1871   3811     575012.500    4204031.942       3697.200   19                    F01
1871   3788     575012.500    4203744.470       3780.400   19                    F01
1941   4418     575887.500    4211623.764       1117.600   20                    F01
1941   4394     575887.500    4211323.718       1210.600   20                    F01
1941   4372     575887.500    4211044.403       1303.800   20                    F01
1941   4348     575887.500    4210748.779       1421.400   20                    F01
1941   4325     575887.500    4210456.891       1502.200   20                    F01
1941   4301     575887.500    4210156.845       1580.600   20                    F01
1941   4287     575887.500    4209981.848       1637.000   20                    F01
1941   4263     575887.500    4209686.221       1732.400   20                    F01
1941   4241     575887.500    4209415.402       1850.000   20                    F01
1941   4214     575887.500    4209069.482       1997.000   20                    F01
1941   4180     575887.500    4208652.887       2173.400   20                    F01
1941   4164     575887.500    4208452.746       2251.600   20                    F01
1941   4136     575887.500    4208098.675       2430.600   20                    F01
1941   4101     575887.500    4207661.010       2658.400   20                    F01
1941   4069     575887.500    4207265.484       2832.200   20                    F01
1941   4033     575887.500    4206815.246       3001.200   20                    F01
1941   4001     575887.500    4206411.224       3146.000   20                    F01
1941   3957     575887.500    4205857.010       3337.000   20                    F01
1941   3913     575887.500    4205315.368       3506.000   20                    F01
1941   3876     575887.500    4204852.899       3645.600   20                    F01
1941   3846     575887.500    4204477.759       3780.400   20                    F01
1961   4421     576137.500    4211665.222       1112.600   21                    F01
1961   4397     576137.500    4211361.096       1213.200   21                    F01
1961   4368     576137.500    4210998.529       1333.200   21                    F01
1961   4341     576137.500    4210665.185       1453.200   21                    F01
1961   4302     576137.500    4210177.914       1592.800   21                    F01
1961   4275     576137.500    4209836.072       1705.400   21                    F01
1961   4242     576137.500    4209419.476       1877.000   21                    F01
1961   4214     576137.500    4209069.482       2016.600   21                    F01
1961   4186     576137.500    4208727.984       2148.800   21                    F01
